business_id,labels
1310,1 2 4 5 6 7
1312,1 2 3 4 5 6 7
1313,3 6 8
1318,0 3 5 6
13,3 6 8
132,1 2 3 4 5 6 7
1324,1 2 3 4 5 6 7
1327,0 3 8
1332,1 2 5 6 8
1336,0 8
1338,1 2 6 8
1339,1 2 3 5 6 7
1342,0 1 8
135,5 6 8
1355,0 2 5 6 8
1356,1 2 3 4 5 6
1359,1 6 8
1360,0 1 5 6 8
1362,1 2 3 5 6
1375,0 3 8
1386,0 3 8
1387,0 8
1388,6 8
1392,1 2 3 5 6 7
1393,5 6 8
1399,2 3 5 6 7
1407,1 2 5 6
1412,1 2 5 6 8
1413,1 2 4 5 6 7
1414,3 6 8
1418,1 2 3 4 5 6 7
1419,1 2 5 6 8
1420,0 2 3 5 6 8
1422,1 5 6 8
142,1 2 3 4 5 6
1424,1 2 3 4 5 6 7
1426,0 8
1430,0 8
143,0 3 5
1435,1 2 3 4 5 6 7
1437,0 1 2 3 5 6 8
1439,1 2 3 5 6 7
1441,6 8
1442,3 7 8
1443,0 2 5 6
1444,1 2 3 4 5 6
1446,0 1 2 3 4 5 6 8
1449,6 8
1450,1 2 4 5 6 7
1451,1 2 3 5 6 7
1453,0 3 5 6 8
1456,6 8
1458,6 8
1460,1 2 4 5 6 7
1463,1 2 4 5 6
1465,0 1 8
1470,0 6 8
1473,1 2 4 5 6 7
1485,3 5 6
1495,0 2 5 6 8
1497,8
1502,0 3 8
150,2 4 5 6 7
1503,0 3 8
1513,2 3 5 6 8
1517,3 6 8
1519,1 2 4 5 6 7
1525,3 5 6 7
1530,0 3 5 8
1533,5 6 8
1536,1 2 3 5 6 8
1539,8
154,1 2 3 4 5 6
1545,1 2 3 4 5 6
1552,1 2 3 4 5 6 8
1554,0 1 3 4 5 6
1556,0 2 3 4 5 6 7
1560,3 8
1564,1 2 3 4 5 6 7 8
1568,3 4 6 8
1584,1 2 3 5 6
1586,1 2 3 4 5 6
1587,0 8
1588,6 8
1589,0 3 5 6 8
1590,0 8
1594,2 4 5 6 7
1605,1 8
1607,3 5 6 8
1609,3 8
1613,1 8
161,1 2 5 6 8
1620,0 1 2 3 8
1624,1 2 3 4 5 6 8
1627,
1631,1 2 5 6
1633,0 3 8
1639,0 8
1641,0 1 2 6 8
164,6 8
1644,0 3 5 6 8
1645,1 2 3 5 6 7
1654,1 2 5 6
1658,0 1 3 8
1667,1 2 4 5 6 7
1670,3 8
1677,6 8
169,1 2 6 7
1699,0 8
1706,2 3 5 6 7
1710,0 1 8
1717,1 2 4 5 6 7
1725,1 2 3 4 5 6 7
1730,0 8
1751,1 2 4 5 6 7
175,3 5 6 8
1754,0 3 8
1759,2 5 6 7 8
1763,1 2 3 4 5 6 7
177,3 8
1772,1 2 4 5 6 7
1776,0 1 2 5 6 8
1779,0 3
1791,1 2 4 5 6 7
1795,1 2 4 5 6
1799,0 2 6 8
1801,1 2 5 6 8
1810,1 2 3 4 5 6 7
1811,1 2 3 4 5 6 8
1822,6 8
1823,1 2 3 4 5 6 7
1830,1 2 3 4 5 6 8
1831,0 3 8
1836,5 6 8
1839,2 5 6
1842,1 2 4 5 6 8
1843,1 2 3 4 5 6
1845,0 1 2 5 6 8
186,1 2 3 4 5 6 7
1864,1 8
1866,6 8
1869,1 2 5 6 8
1873,6 8
188,3 5 6 8
1885,1 2 3 5 6 7
189,1 2 4 5 6 7
1907,8
1908,0 2 5 6 8
1909,3 8
1912,1 2 4 5 6 7
1913,5 6
1919,0 3 5 6 8
1922,1 2 4 5 6 7
192,1 2 3 5 6 7 8
1944,3 8
1946,1 2 4 5 6 7
19,1 2 3 5 6 8
195,0 8
1962,3 5 6 8
1969,1 2 4 5 6 7
1975,0 3 8
1979,3 8
1985,0 3 5 8
198,3 8
1990,0 1 3
199,0 1 2 3 5 6 7
2000,3 8
2006,1 2 3 4 5 6 7
2007,1 2 3 5 6 7
2014,1 2 4 5 6
2017,0 3 5 8
2020,0 3 8
202,1 2 4 5 6 7
2024,1 2 5 6 7 8
2025,3 8
2031,3 5 6
2032,2 6 8
2037,5 6 8
2046,6 8
2047,1 2 6 7 8
2048,3 8
2050,0 3 5 8
2052,3 8
2060,6 8
2062,0 3 5 6 8
2065,1 2 4 5 6 7
2066,0 8
2088,3 6 8
2092,1 2 4 5 6 7
2094,0 2 6 8
2095,1 2 3 4 5 6
2106,0 1 8
2117,1 2 3 5 6 7
2119,0 3 8
2122,1 2 3 4 5 6
2126,1 2 4 5 6
2130,3 7 8
2133,1 2 5 6 8
2134,0 3 5
2139,0 8
2140,1 2 4 5 6 7
2157,1 2 3 5 6 8
216,0 3 5 8
2173,1 6 8
2176,0 3 5 8
21,1 2 3 5 6 8
2181,0 2 3 5 6 8
2185,1 2 4 5 6 7
2192,6 8
2210,0 3 8
2213,0 3 8
2215,6 8
2223,1 2 3 4 5 6 7
2225,0 3 8
2227,0 6 8
2234,3 8
2235,5 8
2241,1 2 3 5 6 7
2243,1 2 5 6
2246,3 8
2249,1 2 4 5 6 7
2250,1 2 4 5 6 7
225,1 5 6 7 8
2253,1 2 5 6 7
2254,0 3 5 8
2260,1 2 3 4 5 6 7
226,2 4 5 6 7
2265,0 3 5 6
2266,1 2 5 6 8
227,3
228,3 8
2285,5 8
2287,8
2291,0 3 8
2292,1 5
2294,2 3 5 6 8
2300,8
2305,6 8
2308,1 2 4 5 6
231,0 3 8
2321,1 2 3 4 5 6
2325,1 2 3 5 6
234,1 2 3 4 5 6 7 8
2342,1 2 5 6 7 8
2346,1 2 6 8
23,0 1 2 6 8
2352,1 2 4 5 6 7
2355,1 2 4 5 6 7 8
2357,0 3 8
2358,3 8
2360,1 2 4 5 6 7
2368,1 2 3 5 6 8
2380,1 2 5 6 7
2381,6 8
2386,0 8
2400,1 2 4 5 6 7
240,2 3 4 5 6 7
2401,1 2 3 4 5 6
2402,0 1 3 8
2404,6 8
2405,1 2 4 5 6 7
2409,0 2 3 4 5 6 7
2411,2 3 5 6
2424,0 1 2 5 6 8
2427,0 8
2438,2 3 5 6 8
2439,1 2 3 4 5 6
2444,2 5 6 8
2456,1 2 4 5 6 7
2457,1 2 3 5 6 7 8
2463,0 3 8
2473,3
2477,1 2 3 4 5 6 7
2489,1 2 5 6 8
2492,1 5 6
2494,1 2 4 5 6 7
2498,0 1 6 8
2500,1 2 4 5 6 8
2505,0 1 6 8
2506,2 3 5 6 7 8
251,0 8
2525,0 3 5 6 8
2529,1 3 5 6
2543,0 1 2 3 5 6 7 8
2548,1 2 5 6 7
2549,1 2 3 5 6 7
2551,0 1 3 5 8
2557,0 8
2558,1 2 3 4 5 6 7
2560,0 2 3 5 6 8
2566,3 5 6 8
2568,1 2 5 6
2575,3 8
2587,3 6 8
2588,1 6
2605,0 1 2 3 4 5 6 7
2606,1 2 3 5 6 7
2607,1 2 4 5 6 7
2610,5 6 8
26,1 2 4 5 6 7
2614,0 3 8
2620,2 3 6 8
2621,3 5 6
262,1 2 5 6
2626,1 2 4 5 6 7
263,0 2 3 8
2635,2 3 5 6
2640,1 2 3 4 5 6 7
2651,1 2 4 5 6 7
2653,0 1 3 8
2662,1 2 4 5 6 7 8
2666,3 8
2671,1 2 5 6
2673,0 1 3 5 8
2674,3 8
2680,0 3 5 8
2685,0 1 3 8
2688,1 2 3 5 6 7
2691,0 1 2 6 8
2696,1 2 3 5 6 7
2697,1 3 4 5 6 7 8
2699,8
270,0 1 6 8
271,1 2 3 4 5 6 7
272,1 2 4 5 6 7
2722,3 8
2726,1 2 3 5 6 8
2727,1 2 4 5 6 7
2731,1 8
2745,0 2 3 5 6 8
2750,0 3 8
2751,8
275,1 2 4 5 6 7 8
2753,1 2 4 5 6 7
2755,5 6 8
2761,0 3 6
2762,0 8
2771,1 2 3 4 5 6 7 8
2779,1 2 3 4 5 6 7
2784,0 8
2795,1 2 3 4 5 6 7
2797,1 2 5 6 7 8
2801,1 2 4 5 6 7
2802,1 2 3 5 6 7 8
2804,1 2 3 5 6
2806,1 3 5 6
2808,0 2 5 6 8
2814,1 2 4 5 6 7
2817,1 2 4 5 6 7
2820,0 8
2826,0
2828,2 3 5 6 7
2829,0 2 3 8
2833,3 8
2839,0 6 8
284,0 8
2861,1 8
2872,0 8
2878,1 2 4 5 6 7
288,2 5 6 8
2886,0 3 8
2888,0 8
2889,3 8
2890,0 5 8
2891,1 3 5 6
2895,2 3 4 5 6
2896,3 6 8
2897,1 2 3 4 5 6 7
2901,0 3 5 8
2907,0 1 2 3 5 6 8
290,1 2 3 5 6 7
2910,0 2 3 5 6
291,0 8
2912,6 8
2915,0 8
29,1 2 3 5 6 7
292,3 8
2929,0 3 5 6
2933,1 2 3 5 6
2935,3 8
2939,3 8
2940,0 5 6 8
2941,
2942,3 8
2948,6 8
2952,2 3 5 6 8
2961,3 6 8
2979,0 1 5 6
298,2 3 8
2986,3 8
2994,0 3 8
2995,1 2 3 6 8
2998,1 2 3 4 5 6 7 8
3007,1 2 3 5 6 8
3008,1 2 3 4 5 6 7
3019,3 6
3032,2 3 5 6 8
3038,0 3 8
3039,1 2 4 5 6
3040,0 3 5 8
3044,0 2 6 8
3061,1 2 5 6 7 8
3062,1 2 3 4 5 6 7 8
3072,8
3091,1 2 4 5 6 7
3093,6 8
3101,0 3 8
3109,1 2 5 6
311,0 5 8
3113,6 8
3123,1 6 8
312,5 6 8
3133,1 2 4 6 8
3137,3 8
3138,3 8
3144,1 2 5 6 7
3147,1 2 3 5 6 7
3148,6 8
3163,0 2 3 5 6 8
3167,0 1 2 6 8
3173,0 3 5 8
3177,3 5 6 8
3179,1 2 4 5 6 7
3180,0 8
3187,8
3198,0 6 8
3203,1 2 3 4 5 6
320,6 8
3204,0 8
3205,0 1 2 5 6 7 8
3206,1 2 3 4 5 6 7
3211,0 2 3 5 6 8
3216,1 5 6 7
3217,1 2 4 5 6 7
3222,5 6 8
3248,1 2 3 4 5 6 7
3249,1 2 3 4 5 6 7
3258,1 2 3 5 6 7
3261,1 2 3 5 6 7 8
3262,3 5 6 8
3263,8
3264,3 6 8
3274,0 8
3277,1 2 3 4 5 6
328,0 3 8
3292,6 8
3294,0 1 2 5 8
3295,3 5 6 8
3303,1 5 6 8
3305,3 6
3308,8
3311,1 2 3 5 6 7
3312,6 8
3326,1 2 3 5 6 7
3328,1 2 3 4 5 6 7
3329,0 2 3 6
3341,2 3 5 6
3343,0 1 8
3347,6 8
3350,0 1 2 5 6 8
3354,2 3 6 8
3371,1 5 6
3374,1 2 3 4 5 6
3376,1 2 4 5 6 7
3386,1 2 4 5 6 7
3395,3
3397,3 8
340,0 5 8
3409,1 2 3 4 5 6
3412,0 1 2 5 6 8
3414,0 2 3 8
3416,0 5 6 8
3421,3 8
3423,0 1 3 5 6 8
3426,1 2 4 5 6 7
3427,5 6 8
3430,0 8
3431,1 2 4 5 6 7
3435,2 3 4 5 6 8
3441,6 8
3446,0 3 8
3452,1 2 5 6
346,1 2 4 5 6 7 8
3462,1 2 5 6 7
3466,1 2 3 4 5 6 7 8
3469,1 2 4 5 6 8
3470,0 8
347,0 1 2 5 6 8
3478,1 2 3 4 5 6 7
348,8
3487,1 2 5 6 8
3488,1 2 3 5 6 7
3501,0 8
3504,0 2 3 5 6 8
3507,1 2 3 5 6
3522,8
3523,6 8
3528,0 8
3537,0 3 8
3538,0 3 8
3540,5 6 8
3543,1 2 3 5 6 8
354,0 8
3546,1 2 4 5 6 7 8
3547,0 3 6 8
3549,1 2 5 6 7
3550,1 2 3 4 5 6 7 8
3555,1 2 5 6 8
3559,3 8
3562,1 2 3 4 5 6 7
3570,0 1 2 3 4 5 6 7
3574,1 2 3 5 6 8
3580,2 5 7
3588,0 3 6 8
3593,1 3 5 8
3598,1 5 6 7
3599,1 2 5 6 8
3600,1 2 3 5 6 7
3604,1 2 4 5 6 7
3605,6 8
3609,8
361,6 8
3612,0 2 3 8
3613,0 1 2 3 4 5 6
3615,1 3 5 8
3625,0 8
3628,0 3 5 8
3637,1 2 4 5 6 7
36,1 2 3 5 6 8
3638,0 8
3650,8
3651,0 2 3 6 8
3657,0 1 2 3 5 6 8
3661,1 2 3 4 5 6 7
3663,0 3 8
3666,0 1 2 5 6 7
3670,1 2 4 5 6 7
3672,1 2 5 6 8
3673,2 5 6 8
3675,1 2 3 4 5 6 7
3685,0 1 3 8
3690,0 3 5 8
3692,5 6 8
3693,3 6 8
3697,0 3 8
3701,3 8
3702,3 5 6 8
371,1 2 3 4 5 6 7 8
372,1 2 4 5 6 7
3726,6 8
3727,3 5 6 7 8
3730,0 3 8
3748,1 2 3 4 5 6 7
3751,5 6 8
3752,0 8
3753,1 2 3 4 5 6 7
3754,1 2 5 6 8
3761,0 3 5 6 8
3762,5 6 8
376,0 3 8
3768,1 2 3 4 5 6
3769,1 2 4 5 6
3772,0 2 5 8
3774,0 3 5 6 8
3781,1 2 3 4 5 6 7
3783,1 2 4 5 6 7
3784,1 2 3 4 5 6
3787,1 2 5 6 7 8
3789,1
3,0 8
3793,0 3 5 8
3794,1 2 3 4 5 6 7
3813,1 2 3 4 5 6 7
38,5 6 8
3820,1 2 3 5 6 7 8
3824,0 3 5 6 8
3835,1 6 8
3836,1 5 6 8
3842,0 2 3 5 6 8
3843,8
3846,1 2 3 4 5 6 7
3847,1 2 5 6 8
3848,1 2 3 4 5 6 7
3850,0 1 3 5 6 8
385,0 2 8
3858,1 2 4 5 6 7
3860,1 2 5 6 8
3866,1 2 4 5 6 7
3870,6 8
387,3 8
388,1 7
3888,0 1 2 3 5 6 7 8
3894,0 3 8
3897,1 2 3 5 6
3901,3 5 6 8
3910,0 8
3913,0 3 5 6
3917,1 2 5 6
3920,5 6
3923,0 2 3 8
3924,3 8
3925,1 3 5 6 7
3926,1 2 3 4 5 6
3929,1 2 3 4 5 6
3941,1 2 4 5 6 7
3945,1 2 5 6 7
39,2 3 5 6 7
3952,0 3 8
3954,0 8
3955,1 2 6 8
3965,0 1 2 5 6 7 8
3971,8
3973,1 2 4 5 6
3979,1 2 3 5 6 7
3980,0 1 8
3982,0 6 8
398,0 2 3 6 8
3988,3 6 8
3992,5 6 8
399,1 2 3 4 5 6 7
4000,8
401,1 2 4 5 6 7
407,1 2 3 4 5 6
413,1 2 4 5 6 7
415,1 2 5 6 7
417,1 2 3 4 5 6 8
423,0 2 6 7 8
426,1 2 3 5 6 7
428,0 2 5 6 8
429,0 8
436,2 3 5 6 8
437,1 2 3 5 6 7
439,3 8
440,3 8
4,1 2 4 5 6
465,0 3 8
466,0 1 8
470,1 2 3 4 5 6 7
472,1 2 3 4 5 6 7
484,1 2 3 4 5 6 7
493,2 3 4 5 6 7
496,1 4 5 6 7
501,0 4 5 8
50,1 2 3 4 5 6
507,3 5
515,2 3 5 6 8
525,1 2 4 5 6 7
527,0
532,1 2 4 5 6 7 8
533,0 1 3 5 6 8
534,1 2 3 4 5 6 7
538,3 6 8
549,5 6 8
558,3 8
566,0 8
576,0 3 5 8
586,0 1 2 5 6 8
590,0 1 5 6 8
598,2 3 5 6
602,1 2 5 6 8
607,1 2 3 4 5 6 7
614,0 3 5 8
6,0 1 6 8
626,0 3 5 8
628,1 2 3 5 6 7 8
632,0 8
63,0 1 2 4 5 6 7
638,0 5 8
639,8
641,1 2 3 4 5 6
643,1 2 4 5 6 7
644,5
646,1 2 3 4 5 6 7
651,1 2 4 5 6 7 8
652,6 8
659,1 2 4 5 6 7
661,0 3 8
662,1 2 4 5 6 7
666,1 2 4 5 6 7 8
672,1 2 4 5 6 7
673,3 5 6 8
674,0 6 8
67,0 2 5 6 7 8
678,0 6 8
680,3 8
684,1 2 3 4 5 6 7
68,5 6 8
688,1 2 3 4 5 6
689,1 2 3 5 6 7
692,0 3 8
694,5 6 8
695,0 1 5 6 8
698,1 2 3 5 6
703,0 3 5 8
705,1 8
71,0 2 3 5 6 8
728,6 8
734,2 5 6 8
738,0 3 8
744,0 1 8
747,1 2 5 6 8
761,1 2 3 4 5 6
767,1 2 4 5 6
768,0 8
78,1 2 6
788,1 2 4 5 6 7
794,0 3 5 8
795,3 6 8
802,8
805,0 1 2 3 5 6 8
807,1 2 3 5 6
808,0 8
809,3 5 6
811,1 2 3 5 6
812,1 2 3 5 6
814,1 2 4 5 6 7
818,0 3 8
821,3 8
822,0 8
841,0 5 6 8
842,0 1 3 5 6 8
846,2 4 5 6 7 8
847,0 3 8
850,1 2 3 5 6 7 8
85,1 2 3 5 6 7 8
851,3 8
853,1 2 3 5 6 7
856,8
862,1 2 3 4 5 6 7
87,0 2 5 6 8
876,3
882,1 2 3 5 6 8
883,1 3 5 6 8
884,0 3 5 6
887,3 8
890,0 3 8
894,1 2 5 6 7
89,0 3 8
899,1 2 3 4 5 6
900,3 8
906,0 3 8
909,0 2 5 6 7 8
910,8
911,0 3 8
923,0 3 8
9,1 2 4 5 6 7
925,0 8
936,1 2 3 5 6 7 8
939,6 8
943,3 8
951,1 2 4 5 6 7
955,0 1 8
956,1 2 3 5 6 7
963,1 2 3 4 5 6 7
96,0 3 5 6 8
968,0 3 8
974,0 1 3 5
980,1 2 3 5 6 8
988,1 2 4 5 6 7 8
989,1 2 3 4 5 6 7
99,1 2 4 5 6 7
991,1 2 3 5 6 7
993,3 6 8
997,8
999,1 2 5 6 7
